id,normalized_name,gender
7,children,
12,mechanical santa,
13,tattoo man,
16,doctor zitsofsky,
20,students,
24,little boy,
26,lewis clark,
27,little girl,
29,bubbles,
30,moldy,
34,ticket seller,
35,elf 1,
36,elves,
37,dogs owner,
39,kids,
41,conductor,
42,secretary,
46,sydney,
47,cecile shapiro,
48,ian,
49,calvin,
50, Sr. martin prince sr,
51,richard,
53,wendell borton,
57,smilin joe fission,
58,rod 1,
59,rod 2,
60,rods,
61,workman 1,
62,foreman,
63,terri sherri,
64,punk teenager,
65,tv announcer 1,
66,tv announcer 2,
67,jingle chorus,
68,sylvia winfield,
69,old man winfield,
70,councilman 1,
72,councilman 2,
73,councilmen 12,
74,demonstrator 1,
75,crowd,
76,mr gammill,
77,tom,
78,mrs long,
79,wife 1,
80,wife 2,
81,other women,
82,nice father,
83,nice boy,
84,nice girl,
85,nice mother,
86,nice family,
87,williams boy,
88,mr williams,
89,boxing announcer,
92,tv-station announcer,
93,tv wife,
94,tv husband,
95,small boy,
97,pawn broker,
99,homer-ish husband,
100,weasel 1,
102,all at the table,
103,kid,
104,weasel 2,
105,maggie simpson,
106,homers image,
107,elderly gentleman,
109,all,
1,marge simpson,f
8,bart simpson,m
9,lisa simpson,f
17,moe szyslak,m
3,seymour skinner,m
11,ned flanders,m
31,grampa simpson,m
71,chief wiggum,m
25,milhouse van houten,m
14,waylon smithers,m
101,nelson muntz,m
40,edna krabappel-flanders,f
33,announcer,m
22,selma bouvier,f
18,barney gumble,m
10,patty bouvier,f
38,martin prince,m
52,otto mann,m
91,lou,m
5,todd flanders,m
96,dr marvin monroe,m
43,dr j loren pyror,m
6,dewey largo,m
90,eddie,m
21,teacher,m
28,clerk,m
32,father,m
54,sherri mackleberry,f
4,janey,f
44,ms melon,f
19,interviewer,m
45,ethan foley,m
55,terri mackleberry,f
23,voice,m
98,receptionist,f
110,ms barr,
113,newsman,
114,barflies,
116,boy onlooker,
117,champ,
122,ned,
125,homers canyon echo,
126,camper father,
127,camper mother,
128,photographer,
129,game warden,
130,reporter 1,
131,reporter 2,
132,flunky,
133,map boy,
134,man 1,
135,man 2,
136,german scientist,
137,beautiful french scientist,
138,english scientist,
141,announcer 1,
142,radio announcer 1,
143,churchgoing woman,
147,girl on screen,
148,boy on screen,
149,usher,
150,mr dandy,
151,radio announcer 3,
152,jebediah springfield,
154,tv announcer 3 contd,
155,mob,
157,waiters,
158,1st waiter quartet,
159,2nd waiter quartet,
160,3rd waiter quartet,
161,4th quartet of waiters,
162,counter guy,
164,helen,
166,another worker,
167,female mail carrier,
168,mr fisk,
169,eugene fisk,
172,workers,
173,princess kashmir,
174,hoyt,
175,girl 1,
176,boy 1,
177,all kids,
178,freddie,
179,lewiss dad,
180,al,
181,happy man,
182,funky guy,
184,man at door,
185,ticket-seller,
186,stage manager,
188,theatre-goer 1,
189,theatre-goer 2,
190,theatre-goer 3,
193,steward,
195,adil hoxha,
196,ugolin,
198,male announcer,
199,military man,
200,marge bart,
201,gendarme,
202,cia agent 1,
203,cia agent 2,
204,brad,
205,female announcer,
206,brittany,
207,itchy scratchy chorus,
209,police artist,
210,scott christian,
212,reporter 3,
215,district attorney,
216,merchant,
211,kent brockman,m
208,apu nahasapeemapetilon,m
165,lenny leonard,m
170,carl carlson,m
153,sideshow bob,m
119,ralph wiggum,m
144,jimbo jones,m
192,agnes skinner,f
145,kearney zzyzwicz,m
146,dolph,m
214,judge snyder,m
163,jacques,m
124,salesman,m
118,woman,f
121,rod flanders,m
183,manager,m
111,bleeding gums murphy,m
123,cowboy bob,m
112,jacqueline bouvier,f
171,waiter,m
187,gulliver dark,m
197,cesar,m
120,stan,m
115,cashier,m
191,krusty doll,m
213,lawyer,m
194,mother,f
217,foreperson,
219,merchandiser 1,
220,merchandiser 3,
221,kbbl weatherman,
224,screener,
225,worker one,
226,florist,
227,lucille botzcowski,
228,maitre d,
229,doofy,
230,u-squeal operator,
231,tv reporter,
233,barts voice,
234,krabappels mouth,
235,grandma,
236,nurse farrell,
241,entire town,
242,thomas jefferson,
243,john adams,
244,samuel chase,
245,roger sherman,
246,benjamin franklin,
247,tv host,
248,tv contestant,
249,good-looking man,
250,dr h boyle,
251,mr winfield,
252,mourners,
253,other runner,
254,jake,
255,woman applicant,
257,man in tuxedo,
258,executive 1,
259,executive 3,
260,moving man,
261,house,
262,kang,
263,serak the preparer,
264,kodos,
265,vo,
266,raven,
267,dave shutton,
268,chief inspector,
269,dean danielson,
271,daneilson,
274,old bearded guy,
275,charles darwin,
276,singers,
277,mary bailey,
278,investigator 1,
279,investigator 2,
280,investigator 3,
281,make-up man,
282,gregor,
283,gammill,
284,flash,
285,player 1,
286,pa announcer,
288,dan hoard,
289,vendor,
290,vender,
291,mr ohara,
292,man on bus,
293,player 2,
294,rasta 1,
295,rasta 2,
296,supervisor,
297,tony bennett,
298,capital city goofball,
299,dave glass,
300,first wife 3,
301,first wife 1,
302,hot dog man,
303,spectator 1,
304,spectator 2,
305,spectator 3,
306,clubhouse attendant,
307,dave rosenfield,
310,librarian,
312,senior citizens,
314,announcer 2,
315,mrs spencer,
316,security guard 1,
317,casey,
318,rory,
319,transient,
320,uncle sam,
321,audience,
322,tv voice 1,
323,tv voice 2,
324,tv voice 3,
325,all three tv voices,
240,mayor joe quimby,m
308,maude flanders,f
309,helen lovejoy,f
273,jasper beardly,m
311,man,m
238,marty,m
